./mfm2tb.py data/test.csv > testbench.v
iverilog -o mfm testbench.v mfm.v
vvp mfm | tee graph.txt
0 x 0 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx 0xxxxxxxxx xxxxxxxx 0xxx 0 xxxxxxxx 0xxx x
10 0 0 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0 0xxxxxxxxX xxxxxxxx 0xxx 0 xxxxxxxx 0xxx x
15 0 0 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0 0xxxxxxxxX xxxxxxxx 0xxx 0 xxxxxxxx 0xxx 1
360 0 1 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0 0xxxxxxxxX xxxxxxxx 0xxx 0 xxxxxxxx 0xxx 1
375 1 1 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx01 0xxxxxxxxX xxxxxxx0 0xxX 0 xxxxxxxx 0xxx 1
410 1 0 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx01 0xxxxxxxxX xxxxxxx0 0xxX 0 xxxxxxxx 0xxx 1
435 0 0 xxxxxxxxxxxxxxxxxxxxxxxxxxxxx010 0xxxxxxxxX xxxxxxx1 0xxX 0 xxxxxxxx 0xxx 1
460 0 1 xxxxxxxxxxxxxxxxxxxxxxxxxxxxx010 0xxxxxxxxX xxxxxxx1 0xxX 0 xxxxxxxx 0xxx 1
485 1 1 xxxxxxxxxxxxxxxxxxxxxxxxxxxx0101 0xxxxxxxx5 xxxxxx00 0xxX 0 xxxxxxxx 0xxx 1
510 1 0 xxxxxxxxxxxxxxxxxxxxxxxxxxxx0101 0xxxxxxxx5 xxxxxx00 0xxX 0 xxxxxxxx 0xxx 1
535 0 0 xxxxxxxxxxxxxxxxxxxxxxxxxxx01010 0xxxxxxxXa xxxxxx11 0xxX 0 xxxxxxxx 0xxx 1
560 0 1 xxxxxxxxxxxxxxxxxxxxxxxxxxx01010 0xxxxxxxXa xxxxxx11 0xxX 0 xxxxxxxx 0xxx 1
585 1 1 xxxxxxxxxxxxxxxxxxxxxxxxxx010101 0xxxxxxxX5 xxxxx000 0xxX 0 xxxxxxxx 0xxx 1
610 1 0 xxxxxxxxxxxxxxxxxxxxxxxxxx010101 0xxxxxxxX5 xxxxx000 0xxX 0 xxxxxxxx 0xxx 1
635 0 0 xxxxxxxxxxxxxxxxxxxxxxxxx0101010 0xxxxxxxXa xxxxx111 0xxX 0 xxxxxxxx 0xxx 1
660 0 1 xxxxxxxxxxxxxxxxxxxxxxxxx0101010 0xxxxxxxXa xxxxx111 0xxX 0 xxxxxxxx 0xxx 1
685 1 1 xxxxxxxxxxxxxxxxxxxxxxxx01010101 0xxxxxxx55 xxxx0000 0xx0 0 xxxxxxxx 0xxx 1
710 1 0 xxxxxxxxxxxxxxxxxxxxxxxx01010101 0xxxxxxx55 xxxx0000 0xx0 0 xxxxxxxx 0xxx 1
735 0 0 xxxxxxxxxxxxxxxxxxxxxxx010101010 0xxxxxxXaa xxxx1111 0xxf 0 xxxxxxxx 0xxx 1
760 0 1 xxxxxxxxxxxxxxxxxxxxxxx010101010 0xxxxxxXaa xxxx1111 0xxf 0 xxxxxxxx 0xxx 1
785 1 1 xxxxxxxxxxxxxxxxxxxxxx0101010101 0xxxxxxX55 xxx00000 0xX0 0 xxxxxxxx 0xxx 1
810 1 0 xxxxxxxxxxxxxxxxxxxxxx0101010101 0xxxxxxX55 xxx00000 0xX0 0 xxxxxxxx 0xxx 1
835 0 0 xxxxxxxxxxxxxxxxxxxxx01010101010 0xxxxxxXaa xxx11111 0xXf 0 xxxxxxxx 0xxx 1
860 0 1 xxxxxxxxxxxxxxxxxxxxx01010101010 0xxxxxxXaa xxx11111 0xXf 0 xxxxxxxx 0xxx 1
885 1 1 xxxxxxxxxxxxxxxxxxxx010101010101 0xxxxxx555 xx000000 0xX0 0 xxxxxxxx 0xxx 1
910 1 0 xxxxxxxxxxxxxxxxxxxx010101010101 0xxxxxx555 xx000000 0xX0 0 xxxxxxxx 0xxx 1
935 0 0 xxxxxxxxxxxxxxxxxxx0101010101010 0xxxxxXaaa xx111111 0xXf 0 xxxxxxxx 0xxx 1
960 0 1 xxxxxxxxxxxxxxxxxxx0101010101010 0xxxxxXaaa xx111111 0xXf 0 xxxxxxxx 0xxx 1
985 1 1 xxxxxxxxxxxxxxxxxx01010101010101 0xxxxxX555 x0000000 0xX0 0 xxxxxxxx 0xxx 1
1010 1 0 xxxxxxxxxxxxxxxxxx01010101010101 0xxxxxX555 x0000000 0xX0 0 xxxxxxxx 0xxx 1
1035 0 0 xxxxxxxxxxxxxxxxx010101010101010 0xxxxxXaaa x1111111 0xXf 0 xxxxxxxx 0xxx 1
1060 0 1 xxxxxxxxxxxxxxxxx010101010101010 0xxxxxXaaa x1111111 0xXf 0 xxxxxxxx 0xxx 1
1085 1 1 xxxxxxxxxxxxxxxx0101010101010101 0xxxxx5555 00000000 0x00 0 xxxxxxxx 0xxx 1
